Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Quincy Acy,PF,70,8,19.4,3.7,0.8,0.5,0.4,0.9,5.9,1709538
Steven Adams,C,76,76,32.7,9,1.2,1.2,1,1.7,13.9,22471911
Bam Adebayo,C,69,19,19.8,5.5,1.5,0.5,0.6,1,6.9,2490360
Arron Afflalo,SG,53,3,12.9,1.2,0.6,0.1,0.2,0.4,3.4,5328652
Cole Aldrich,C,21,0,2.3,0.7,0.1,0.1,0,0,0.6,7300000
LaMarcus Aldridge,C,75,75,33.5,8.5,2,0.6,1.2,1.5,23.1,21461010
Jarrett Allen,C,72,31,20,5.4,0.7,0.4,1.2,1.1,8.2,1713720
Kadeem Allen,PG,18,1,5.9,0.6,0.7,0.2,0.1,0.5,1.1,77250
Tony Allen,SF,22,0,12.4,2.1,0.4,0.5,0.1,0.9,4.7,1471382
Al-Farouq Aminu,PF,69,67,30,7.6,1.2,1.1,0.6,1.1,9.3,7319035
Justin Anderson,SF,38,0,13.7,2.4,0.7,0.4,0.2,0.4,6.2,1579440
Kyle Anderson,SF,74,67,26.7,5.4,2.7,1.6,0.8,1.3,7.9,2151704
Ryan Anderson,PF,66,50,26.1,5,0.9,0.4,0.3,0.6,9.3,19578455
Ike Anigbogu,C,11,0,2.7,0.8,0,0.1,0.3,0.2,1.2,950000
Giannis Antetokounmpo,PF,75,75,36.7,10,4.8,1.5,1.4,3,26.9,22471911
Carmelo Anthony,PF,78,78,32.1,5.8,1.3,0.6,0.6,1.3,16.2,26243760
OG Anunoby,SF,74,62,20,2.5,0.7,0.7,0.2,0.6,5.9,1645200
Ryan Arcidiacono,PG,24,0,12.7,1,1.5,0.5,0,0.5,2,77250
Trevor Ariza,SF,67,67,33.9,4.4,1.6,1.5,0.2,0.8,11.7,7400000
Darrell Arthur,PF,19,1,7.4,0.8,0.5,0.4,0.2,0.8,2.8,7464912
Jamel Artis,SG,15,1,18.6,2.5,1.2,0.1,0.2,0.5,5.1,77250
Luke Babbitt,SF,50,14,14.3,1.9,0.6,0.2,0.1,0.4,5.2,1974159
Dwayne Bacon,SG,53,6,13.5,2.3,0.7,0.3,0,0.4,3.3,815615
Ron Baker,SG,29,1,13.3,1,1.6,0.9,0.2,0.6,2.4,4328000
Wade Baldwin,PG,7,0,11.4,1.1,0.7,0.3,0.1,0.6,5.4,2254292
Lonzo Ball,PG,52,50,34.2,6.9,7.2,1.7,0.8,2.6,10.2,6286560
Harrison Barnes,PF,77,77,34.2,6.1,2,0.6,0.2,1.5,18.9,23112004
Will Barton,SG,81,40,33.1,5,4.1,1,0.6,1.8,15.7,3533333
Nicolas Batum,SG,64,64,31,4.8,5.5,1,0.4,2,11.6,22434783
Jerryd Bayless,SG,39,11,23.7,2.1,1.4,0.6,0.2,1.2,7.9,9000000
Aron Baynes,C,81,67,18.3,5.4,1.1,0.3,0.6,1,6,4300000
Kent Bazemore,SG,65,65,27.5,3.8,3.5,1.5,0.7,2.4,12.9,16910112
Bradley Beal,SG,82,82,36.3,4.4,4.5,1.2,0.4,2.6,22.6,23775506
Malik Beasley,SG,62,0,9.4,1.1,0.5,0.2,0.1,0.4,3.2,1700640
Michael Beasley,PF,74,30,22.3,5.6,1.7,0.5,0.6,1.9,13.2,2116955
Marco Belinelli,SG,80,2,24.3,1.9,1.9,0.8,0.2,1.2,12.1,7082277
Jordan Bell,C,57,13,14.2,3.6,1.8,0.6,1,0.9,4.6,815615
Dragan Bender,PF,82,37,25.2,4.4,1.6,0.3,0.6,1.4,6.5,4468800
Patrick Beverley,SG,11,11,30.4,4.1,2.9,1.7,0.5,2.3,12.2,5513514
Khem Birch,C,42,0,13.8,4.3,0.8,0.4,0.5,0.5,4.2,815615
Jabari Bird,SG,13,1,8.8,1.5,0.6,0.2,0.1,0.6,3,77250
Bismack Biyombo,C,82,25,18.2,5.7,0.8,0.3,1.2,1,5.7,17000000
Nemanja Bjelica,PF,67,21,20.5,4.1,1.3,0.7,0.2,0.8,6.8,3950000
Tarik Black,C,51,2,10.5,3.2,0.3,0.4,0.6,0.7,3.5,3290000
Antonio Blakeney,SG,19,0,16.5,1.7,1.1,0.4,0.1,0.6,7.9,77250
Eric Bledsoe,PG,74,74,31.4,3.8,5,2,0.6,2.9,17.7,14500000
Vander Blue,SG,5,0,9,0.2,0.6,0.2,0,0.6,0.6,77250
Andrew Bogut,C,24,5,9,3.3,0.6,0.2,0.5,0.8,1.5,1078810
Joel Bolomboy,PF,6,0,6.3,1.7,0,0.3,0,0.3,1.5,708200
Devin Booker,SG,54,54,34.5,4.5,4.7,0.9,0.3,3.6,24.9,2319360
Trevor Booker,PF,68,7,17,4.7,1.2,0.4,0.3,0.9,6.3,9571137
Chris Boucher,PF,1,0,1,1,0,0,0,0,0,77250
Avery Bradley,SG,46,46,31.2,2.5,2,1.1,0.2,2.2,14.3,8808989
Tony Bradley,C,9,0,3.2,1.2,0.1,0,0,0,0.9,1414920
Corey Brewer,SF-SG,72,18,16.8,2.1,0.9,1.1,0.2,0.7,5.3,8105615
Malcolm Brogdon,PG,48,20,29.9,3.3,3.2,0.9,0.3,1.4,13,1312611
Aaron Brooks,PG,32,1,5.9,0.5,0.6,0.2,0,0.3,2.3,2116955
Dillon Brooks,SF,82,74,28.7,3.1,1.6,0.9,0.2,1.5,11,815615
MarShon Brooks,SG,7,1,27.6,3,3.6,1.6,0.4,2.3,20.1,86118
Anthony Brown,SF,1,0,4,0,1,0,0,0,3,77250
Bobby Brown,PG,20,0,5.8,0.4,0.6,0.2,0,0.5,2.5,1231500
Jaylen Brown,SG,70,70,30.7,4.9,1.6,1,0.4,1.8,14.5,4956480
