Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Aaron Gordon,PF,50,50,27.7,5.7,3.2,0.7,0.7,1.9,12.4,"18,136,364"
Aaron Holiday,PG,66,8,17.8,1.3,1.9,0.7,0.2,1,7.2,"2,345,640"
Aaron Nesmith,SF,46,1,14.5,2.8,0.5,0.3,0.2,0.5,4.7,"3,458,400"
Abdel Nader,SF,24,0,14.8,2.6,0.8,0.4,0.4,0.8,6.7,"1,752,950"
Al Horford,C,28,28,27.9,6.7,3.4,0.9,0.9,1,14.2,"27,500,000"
Alec Burks,SG,49,5,25.6,4.6,2.2,0.6,0.3,1,12.7,"6,000,000"
Aleksej Pokusevski,PF,45,28,24.2,4.7,2.2,0.4,0.9,2.2,8.2,"2,964,840"
Alen Smailagić,PF,15,1,5.6,1.1,0.3,0.2,0.3,0.3,1.9,"1,517,981"
Alex Caruso,PG,58,6,21,2.9,2.8,1.1,0.3,1.3,6.4,"2,750,000"
Alex Len,C,64,42,15.3,4.1,0.8,0.3,1,0.9,6.6,"4,032,648"
Al-Farouq Aminu,PF,23,14,18.9,4.8,1.3,0.8,0.4,1.2,4.4,"9,720,900"
Alfonzo McKinnie,SF,39,0,6.6,1.4,0.2,0.2,0,0.1,3.1,"1,762,796"
Alize Johnson,PF,18,0,10.5,5,0.8,0.3,0.3,0.5,5.2,"399,591"
Anderson Varejão,C,5,0,7.2,4,0.6,0,0.4,0.2,2.6,"1,913,345"
Andre Drummond,C,46,46,27,12,2,1.4,1.1,2.7,14.9,"29,546,311"
Andre Iguodala,SF,63,5,21.3,3.5,2.3,0.9,0.6,1.1,4.4,"15,000,000"
Andre Roberson,SG,5,0,12.6,3,0.8,0.6,0.2,0.4,1.2,"152,839"
Andrew Wiggins,PF,71,71,33.3,4.9,2.4,0.9,1,1.8,18.6,"29,542,010"
Anfernee Simons,SG,64,0,17.3,2.2,1.4,0.3,0.1,0.7,7.8,"2,252,040"
Anthony Davis,PF,36,36,32.3,7.9,3.1,1.3,1.6,2.1,21.8,"32,742,000"
Anthony Edwards,SG,72,55,32.1,4.7,2.9,1.1,0.5,2.2,19.3,"9,757,440"
Anthony Gill,PF,26,4,8.4,2,0.4,0.4,0.2,0.3,3.1,"898,310"
Anžejs Pasečņiks,C,1,0,6,1,1,0,0,5,0,"350,000"
Aron Baynes,C,53,31,18.5,5.2,0.9,0.3,0.4,0.9,6.1,"6,975,610"
Austin Rivers,SG,36,7,23.5,2.3,2.3,0.8,0.1,1,7.9,"3,174,603"
Avery Bradley,SG,27,6,22.3,2.1,1.7,0.8,0.1,1,6.4,"5,635,000"
Bam Adebayo,C,64,64,33.5,9,5.4,1.2,1,2.6,18.7,"5,115,492"
Ben McLemore,SG,53,5,17.1,1.9,0.7,0.4,0.2,0.8,7.7,"2,852,708"
Ben Simmons,PG,58,58,32.4,7.2,6.9,1.6,0.6,3,14.3,"29,250,000"
Bismack Biyombo,C,66,36,20.4,5.3,1.2,0.3,1.1,1.1,5,"2,331,593"
Blake Griffin,PF,46,30,25.8,4.9,3,0.7,0.3,1.3,11,"33,685,241"
Boban Marjanović,C,33,3,8.2,3.9,0.3,0.1,0.2,0.4,4.7,"3,500,000"
Bobby Portis,C,66,7,20.8,7.1,1.1,0.8,0.4,0.8,11.4,"3,623,000"
Bogdan Bogdanović,SG,44,27,29.7,3.6,3.3,1.1,0.3,1.2,16.4,"18,000,000"
Bojan Bogdanović,SF,72,72,30.8,3.9,1.9,0.6,0.1,1.8,17,"17,850,000"
Bol Bol,PF,32,2,5,0.8,0.2,0.1,0.3,0.4,2.2,"2,058,240"
Brad Wanamaker,PG,61,0,17.3,1.7,2.9,0.7,0.2,1.2,5.5,"2,250,000"
Bradley Beal,SG,60,60,35.8,4.7,4.4,1.2,0.4,3.1,31.3,"28,751,775"
Brandon Clarke,PF,59,16,24,5.6,1.6,1,0.9,0.6,10.3,"2,602,920"
Brandon Goodwin,PG,47,5,13.2,1.5,2,0.4,0,0.8,4.9,"1,701,593"
Brandon Ingram,SF,61,61,34.3,4.9,4.9,0.7,0.6,2.5,23.8,"27,285,000"
Brook Lopez,C,70,70,27.2,5,0.7,0.6,1.5,0.9,12.3,"12,697,675"
Bruce Brown,PG,65,37,22.3,5.4,1.6,0.9,0.4,0.8,8.8,"1,663,861"
Bruno Caboclo,PF,6,0,6,2.3,0.2,0,0.3,0.7,2.8,"361,256"
Bruno Fernando,C,33,0,6.8,2.4,0.3,0.1,0.1,0.6,1.5,"1,517,981"
Bryn Forbes,SG,70,10,19.3,1.6,0.6,0.3,0,0.6,10,"2,337,145"
